epoch,num_episodes,mean_loss,epsilon
0,1379,0.210790157318,0.776241100007
1,1351,0.188588485122,0.552457000015
2,1290,0.199155509472,0.328618000012
3,1144,0.212184071541,0.10464760001
4,1100,0.227077648044,0.1
5,863,0.22351744771,0.1
6,633,0.306110948324,0.1
7,474,0.261290073395,0.1
8,428,0.227010294795,0.1
9,379,0.204062372446,0.1
10,344,0.208790197968,0.1
11,313,0.210426405072,0.1
12,279,0.214061677456,0.1
13,251,0.213572889566,0.1
14,252,0.227755129337,0.1
15,240,0.22443062067,0.1
16,224,0.240251943469,0.1
17,212,0.244672954082,0.1
18,207,0.243490964174,0.1
19,207,0.242052450776,0.1
20,204,0.24361461401,0.1
21,193,0.251655548811,0.1
22,195,0.257196962833,0.1
23,196,0.258709698915,0.1
24,203,0.261073410511,0.1
25,204,0.282902598381,0.1
26,202,0.294681638479,0.1
27,202,0.312006831169,0.1
28,194,0.312990605831,0.1
29,195,0.322229117155,0.1
30,208,0.361171245575,0.1
31,203,0.367874324322,0.1
32,189,0.397003382444,0.1
33,186,0.401100486517,0.1
34,192,0.400366604328,0.1
35,205,0.43768838048,0.1
36,208,0.445379018784,0.1
37,194,0.464015513659,0.1
38,200,0.501904070377,0.1
39,197,0.522585690022,0.1
40,207,0.512173652649,0.1
41,223,0.492299169302,0.1
42,195,0.515330135822,0.1
43,189,0.531428515911,0.1
44,197,0.519830107689,0.1
45,191,0.494707971811,0.1
46,185,0.523519098759,0.1
47,189,0.528023123741,0.1
48,206,0.51904463768,0.1
49,202,0.513663768768,0.1
50,215,0.519073605537,0.1
51,196,0.541804730892,0.1
52,200,0.564872562885,0.1
53,202,0.596283555031,0.1
54,220,0.652567386627,0.1
55,209,0.668156683445,0.1
56,200,0.676724135876,0.1
57,218,0.7021920681,0.1
58,219,0.654834330082,0.1
59,256,0.622768044472,0.1
60,207,0.634984016418,0.1
61,202,0.657908201218,0.1
62,188,0.665822684765,0.1
63,206,0.705910205841,0.1
64,214,0.735861837864,0.1
65,230,0.72575968504,0.1
66,241,0.719621658325,0.1
67,210,0.716241538525,0.1
68,224,0.710245192051,0.1
69,210,0.706572413445,0.1
70,210,0.716399371624,0.1
71,206,0.730456471443,0.1
72,209,0.753526508808,0.1
73,220,0.787027418613,0.1
74,224,0.796843409538,0.1
75,213,0.75536853075,0.1
76,211,0.777038156986,0.1
77,211,0.795038819313,0.1
78,202,0.81267362833,0.1
79,221,0.817676007748,0.1
80,214,0.831129193306,0.1
81,204,0.872625291348,0.1
82,220,0.892513930798,0.1
83,240,0.905861139297,0.1
84,222,0.900107681751,0.1
85,219,0.862457633018,0.1
86,236,0.897719979286,0.1
87,219,0.968308389187,0.1
88,228,0.956769108772,0.1
89,227,0.977459967136,0.1
90,254,0.969379842281,0.1
91,273,0.941567838192,0.1
92,246,0.908690094948,0.1
93,230,0.906883478165,0.1
94,235,0.928478717804,0.1
95,227,0.955788552761,0.1
96,242,0.989964067936,0.1
97,285,1.00842690468,0.1
98,260,1.00565361977,0.1
99,253,0.987600028515,0.1
100,247,0.994315505028,0.1
101,236,1.0413441658,0.1
102,243,1.07435965538,0.1
103,263,1.0957545042,0.1
104,246,1.09518957138,0.1
105,246,1.11590313911,0.1
106,250,1.16790091991,0.1
107,242,1.22904789448,0.1
108,241,1.24107587337,0.1
109,303,1.2765392065,0.1
110,376,1.26327049732,0.1
111,327,1.21527957916,0.1
112,260,1.19145786762,0.1
113,254,1.19087207317,0.1
114,249,1.23757481575,0.1
115,258,1.30827236176,0.1
116,303,1.34461379051,0.1
117,313,1.34626579285,0.1
118,327,1.31812214851,0.1
119,327,1.28454089165,0.1
120,360,1.24543309212,0.1
121,320,1.22790920734,0.1
122,278,1.25226521492,0.1
123,274,1.26341450214,0.1
124,287,1.2939773798,0.1
125,317,1.33077156544,0.1
126,297,1.33227312565,0.1
127,294,1.3170979023,0.1
128,340,1.31676328182,0.1
129,312,1.33266043663,0.1
130,297,1.32495522499,0.1
131,289,1.36473429203,0.1
132,319,1.37015116215,0.1
133,344,1.35100913048,0.1
134,332,1.33404910564,0.1
135,342,1.33806478977,0.1
136,344,1.29317224026,0.1
137,307,1.30511188507,0.1
138,311,1.30413854122,0.1
139,305,1.34551894665,0.1
140,317,1.32914161682,0.1
141,311,1.30627179146,0.1
142,297,1.30491888523,0.1
143,322,1.28515911102,0.1
144,305,1.30913877487,0.1
145,305,1.3031681776,0.1
146,334,1.29528748989,0.1
147,343,1.30417668819,0.1
148,342,1.33148562908,0.1
149,340,1.32021152973,0.1
150,340,1.34902107716,0.1
151,329,1.34586250782,0.1
152,325,1.36877262592,0.1
153,330,1.35747087002,0.1
154,349,1.3258497715,0.1
155,327,1.3326972723,0.1
