epoch,num_episodes,mean_length,max_length,total_reward,max_reward,mean_reward
93,92,1358.69565217,2310,76470.0,831.195652174,1400.0
94,77,1623.37662338,2242,78840.0,1023.8961039,1775.0
95,81,1543.20987654,2980,72775.0,898.456790123,1885.0
96,89,1404.49438202,2561,71705.0,805.674157303,1545.0
97,82,1524.3902439,2482,71960.0,877.56097561,1375.0
98,77,1623.37662338,3120,73105.0,949.415584416,2085.0
99,77,1623.37662338,2937,72120.0,936.623376623,1730.0
100,80,1562.5,2329,75670.0,945.875,1430.0
101,76,1644.73684211,3093,75215.0,989.671052632,1970.0
102,79,1582.27848101,2808,74955.0,948.797468354,1870.0
103,73,1712.32876712,3221,76010.0,1041.23287671,2090.0
104,83,1506.02409639,2440,74580.0,898.554216867,1800.0
105,77,1623.37662338,2941,73405.0,953.311688312,2185.0
106,75,1666.66666667,2852,71245.0,949.933333333,1800.0
107,74,1689.18918919,2851,77595.0,1048.58108108,1870.0
108,74,1689.18918919,3469,71650.0,968.243243243,1830.0
109,78,1602.56410256,2848,75055.0,962.243589744,1745.0
110,76,1644.73684211,2749,76710.0,1009.34210526,1830.0
111,71,1760.56338028,3210,75865.0,1068.52112676,2290.0
112,76,1644.73684211,2726,75930.0,999.078947368,1725.0
113,75,1666.66666667,3988,76925.0,1025.66666667,2435.0
114,73,1712.32876712,2651,74390.0,1019.04109589,1605.0
115,84,1488.0952381,2443,78640.0,936.19047619,1830.0
116,82,1524.3902439,2183,76020.0,927.073170732,1575.0
117,75,1666.66666667,2909,78760.0,1050.13333333,1930.0
118,68,1838.23529412,3139,78600.0,1155.88235294,2290.0
119,76,1644.73684211,2432,71265.0,937.697368421,1600.0
120,73,1712.32876712,2394,76065.0,1041.98630137,1575.0
121,70,1785.71428571,3574,80485.0,1149.78571429,2765.0
122,78,1602.56410256,2789,77605.0,994.935897436,1800.0
123,92,1358.69565217,2428,67350.0,732.065217391,1500.0
124,70,1785.71428571,2793,76975.0,1099.64285714,1745.0
125,80,1562.5,3970,75835.0,947.9375,2415.0
126,82,1524.3902439,2771,76070.0,927.682926829,1985.0
127,70,1785.71428571,2480,70350.0,1005.0,1800.0
128,77,1623.37662338,3072,75865.0,985.25974026,2105.0
129,76,1644.73684211,2855,75815.0,997.565789474,2290.0
130,65,1923.07692308,3069,78770.0,1211.84615385,2075.0
131,71,1760.56338028,3617,77370.0,1089.71830986,2345.0
132,78,1602.56410256,2801,78900.0,1011.53846154,1805.0
133,76,1644.73684211,2814,80950.0,1065.13157895,1905.0
134,75,1666.66666667,3111,74840.0,997.866666667,1895.0
135,68,1838.23529412,2713,74050.0,1088.97058824,1785.0
136,76,1644.73684211,3129,76350.0,1004.60526316,1895.0
137,76,1644.73684211,2996,77430.0,1018.81578947,2230.0
138,68,1838.23529412,3697,79620.0,1170.88235294,2450.0
139,71,1760.56338028,3288,74735.0,1052.6056338,2340.0
140,67,1865.67164179,3163,76165.0,1136.79104478,2235.0
141,73,1712.32876712,3234,75870.0,1039.31506849,2005.0
142,74,1689.18918919,2951,79500.0,1074.32432432,2035.0
143,72,1736.11111111,3221,74830.0,1039.30555556,1975.0
144,70,1785.71428571,3370,73800.0,1054.28571429,1930.0
145,79,1582.27848101,3165,76380.0,966.835443038,2005.0
